"class","word","n","word_rank"
"No pronouns provided","good",79,1
"No pronouns provided","get",70,2
"Gender non-conforming pronouns","18",69,1
"Masculine pronouns only","game",68,1
"Gender non-conforming pronouns","artist",64,2
"Feminine pronouns only","account",58,1
"No pronouns provided","follow",55,3
"Feminine pronouns only","artist",54,2
"Gender non-conforming pronouns","art",52,3
"No pronouns provided","make",49,4
"Feminine pronouns only","fan",47,3
"Feminine pronouns only","writer",46,4
"Feminine pronouns only","18",43,5
"Feminine pronouns only","love",43,6
"Feminine pronouns only","game",40,7
"Feminine pronouns only","like",40,8
"No pronouns provided","game",40,5
"Feminine pronouns only","bi",38,9
"Feminine pronouns only","mom",38,10
"Gender non-conforming pronouns","nsfw",38,4
"Masculine pronouns only","fan",38,2
"Feminine pronouns only","life",36,11
"Gender non-conforming pronouns","queer",36,5
"Masculine pronouns only","artist",36,3
"Masculine pronouns only","like",36,4
"No pronouns provided","i ’ be",36,6
"Feminine pronouns only","art",35,12
"Gender non-conforming pronouns","dni",35,6
"No pronouns provided","art",35,7
"Feminine pronouns only","i'm",33,13
"Feminine pronouns only","trans",33,14
"Masculine pronouns only","18",33,5
"No pronouns provided","friend",33,8
"No pronouns provided","people",33,9
"Masculine pronouns only","love",32,6
"No pronouns provided","please",32,10
"Feminine pronouns only","thing",31,15
"Gender non-conforming pronouns","bi",31,7
"Gender non-conforming pronouns","game",31,8
"Masculine pronouns only","writer",31,7
"Feminine pronouns only","black",30,16
"Feminine pronouns only","much",30,17
"Gender non-conforming pronouns","22",30,9
"Masculine pronouns only","account",30,8
"No pronouns provided","man",30,11
"Feminine pronouns only","good",29,18
"Gender non-conforming pronouns","writer",29,10
"Masculine pronouns only","nsfw",29,9
"No pronouns provided","18",29,12
"No pronouns provided","live",29,13
"No pronouns provided","new",29,14
"No pronouns provided","work",29,15
"Gender non-conforming pronouns","account",28,11
"No pronouns provided","writer",28,16
"Feminine pronouns only","cat",27,19
"Feminine pronouns only","lover",27,20
"Gender non-conforming pronouns","blm",27,12
"Masculine pronouns only","art",27,10
"No pronouns provided","also",27,17
"No pronouns provided","artist",27,18
"No pronouns provided","country",27,19
"No pronouns provided","day",27,20
"Gender non-conforming pronouns","21",26,13
"Gender non-conforming pronouns","like",26,14
"Gender non-conforming pronouns","sometimes",26,15
"Masculine pronouns only","i'm",26,11
"Gender non-conforming pronouns","20",25,16
"Masculine pronouns only","bi",25,12
"Masculine pronouns only","make",25,13
"Masculine pronouns only","gay",24,14
"Masculine pronouns only","life",24,15
"Masculine pronouns only","pfp",24,16
"Gender non-conforming pronouns","minor",22,17
"Gender non-conforming pronouns","old",22,18
"Gender non-conforming pronouns","trans",22,19
"Masculine pronouns only","enthusiast",22,17
"Masculine pronouns only","thing",22,18
"Masculine pronouns only","time",22,19
"Gender non-conforming pronouns","autistic",21,20
"Masculine pronouns only","twitch",21,20
